"Block","Day","Genotype","Treatment","Tube","Number.of.females","Number.of.eggs","Number.of.Offspring"
1,1,"RAL 443","I",1,5,29,24
1,1,"RAL 443","I",2,5,14,11
1,1,"RAL 443","I",3,5,5,1
1,1,"RAL 443","NI",1,5,31,21
1,1,"RAL 443","NI",2,4,21,16
1,1,"RAL 443","NI",3,5,24,17
1,1,"RAL 776","I",1,5,63,45
1,1,"RAL 776","I",2,5,65,60
1,1,"RAL 776","I",3,5,70,45
1,1,"RAL 776","NI",1,4,55,52
1,1,"RAL 776","NI",2,4,49,29
1,1,"RAL 776","NI",3,4,37,35
1,1,"RAL 486","I",1,5,56,20
1,1,"RAL 486","I",2,5,58,31
1,1,"RAL 486","I",3,5,72,41
1,1,"RAL 486","NI",1,5,22,11
1,1,"RAL 486","NI",2,5,59,52
1,1,"RAL 486","NI",3,5,64,44
1,1,"RAL 395","I",1,5,34,22
1,1,"RAL 395","I",2,5,39,22
1,1,"RAL 395","I",3,5,92,67
1,1,"RAL 395","NI",1,5,54,39
1,1,"RAL 395","NI",2,5,86,45
1,1,"RAL 395","NI",3,5,53,36
1,1,"RAL 397","I",1,5,35,14
1,1,"RAL 397","I",2,5,42,15
1,1,"RAL 397","I",3,5,39,11
1,1,"RAL 397","NI",1,5,43,11
1,1,"RAL 397","NI",2,5,55,13
1,1,"RAL 397","NI",3,5,64,17
1,1,"RAL 129","I",1,5,126,73
1,1,"RAL 129","I",2,5,164,95
1,1,"RAL 129","I",3,5,61,34
1,1,"RAL 129","NI",1,5,158,86
1,1,"RAL 129","NI",2,4,118,70
1,1,"RAL 129","NI",3,5,57,32
1,1,"RAL 382","I",1,5,73,31
1,1,"RAL 382","I",2,5,61,34
1,1,"RAL 382","I",3,5,76,39
1,1,"RAL 382","NI",1,5,55,24
1,1,"RAL 382","NI",2,4,24,16
1,1,"RAL 382","NI",3,5,34,20
1,1,"RAL 786","I",1,5,30,20
1,1,"RAL 786","I",2,5,30,20
1,1,"RAL 786","I",3,5,53,28
1,1,"RAL 786","NI",1,5,45,29
1,1,"RAL 786","NI",2,5,46,26
