"Strain","Block","Mating_status","Infection_status","Time","Flies","Censor"
"RAL776",1,"M","I",24,5,1
"RAL737",1,"M","I",24,6,1
"RAL486",1,"M","I",24,20,1
"RAL837",1,"M","I",24,6,1
"RAL370",1,"M","I",24,3,1
"RAL395",1,"M","I",24,4,1
"RAL382",1,"M","I",24,7,1
"RAL786",1,"M","I",24,10,1
"RAL799",1,"M","I",24,4,1
"RAL129",1,"M","I",24,4,1
"RAL646",1,"M","I",24,3,1
"RAL397",1,"M","I",24,4,1
"RAL443",1,"M","I",24,5,1
"RAL776",1,"M","I",48,9,1
"RAL737",1,"M","I",48,11,1
"RAL486",1,"M","I",48,4,1
"RAL837",1,"M","I",48,15,1
"RAL370",1,"M","I",48,8,1
"RAL395",1,"M","I",48,16,1
"RAL382",1,"M","I",48,7,1
"RAL786",1,"M","I",48,2,1
"RAL799",1,"M","I",48,6,1
"RAL129",1,"M","I",48,12,1
"RAL646",1,"M","I",48,2,1
"RAL397",1,"M","I",48,6,1
"RAL443",1,"M","I",48,9,1
"Sham",1,"M","S",48,2,1
"RAL776",1,"M","I",72,2,1
"RAL737",1,"M","I",72,4,1
"RAL370",1,"M","I",72,1,1
"RAL799",1,"M","I",72,1,1
"RAL646",1,"M","I",72,4,1
"RAL397",1,"M","I",72,1,1
"RAL443",1,"M","I",72,1,1
"Sham",1,"M","S",72,1,1
"RAL370",1,"M","I",96,1,1
"RAL395",1,"M","I",96,3,1
"RAL799",1,"M","I",96,3,1
"RAL443",1,"M","I",96,1,1
"RAL837",1,"M","I",120,1,1
"RAL395",1,"M","I",120,4,1
"RAL382",1,"M","I",120,2,1
"RAL799",1,"M","I",120,2,1
"RAL129",1,"M","I",120,1,1
"RAL397",1,"M","I",120,1,1
"RAL443",1,"M","I",120,4,1
"RAL776",1,"M","I",120,14,0
"RAL737",1,"M","I",120,12,0
"RAL486",1,"M","I",120,7,0
"RAL837",1,"M","I",120,4,0
"RAL370",1,"M","I",120,17,0
"RAL395",1,"M","I",120,5,0
"RAL382",1,"M","I",120,4,0
"RAL786",1,"M","I",120,7,0
"RAL799",1,"M","I",120,13,0
"RAL129",1,"M","I",120,13,0
"RAL646",1,"M","I",120,22,0
"RAL397",1,"M","I",120,19,0
"RAL443",1,"M","I",120,12,0
"Sham",1,"M","S",120,11,0
"RAL786",2,"M","I",24,7,1
"RAL737",2,"M","I",24,3,1
"RAL395",2,"M","I",24,7,1
"RAL837",2,"M","I",24,6,1
"Sham",2,"M","S",24,2,1
"RAL443",2,"M","I",24,1,1
"RAL382",2,"M","I",24,2,1
"RAL486",2,"M","I",24,8,1
"RAL129",2,"M","I",24,1,1
"RAL776",2,"M","I",24,2,1
"RAL397",2,"M","I",24,2,1
"RAL786",2,"M","I",48,3,1
"RAL737",2,"M","I",48,6,1
"RAL395",2,"M","I",48,12,1
"RAL799",2,"M","I",48,3,1
"RAL837",2,"M","I",48,7,1
"RAL443",2,"M","I",48,4,1
"RAL370",2,"M","I",48,10,1
"RAL382",2,"M","I",48,6,1
"RAL486",2,"M","I",48,10,1
"RAL129",2,"M","I",48,2,1
"RAL776",2,"M","I",48,2,1
"RAL397",2,"M","I",48,3,1
"RAL786",2,"M","I",72,2,1
"RAL799",2,"M","I",72,1,1
"RAL443",2,"M","I",72,2,1
"RAL370",2,"M","I",72,1,1
"RAL382",2,"M","I",72,2,1
"RAL129",2,"M","I",72,1,1
"RAL776",2,"M","I",72,1,1
"RAL646",2,"M","I",72,1,1
"RAL397",2,"M","I",72,1,1
"RAL395",2,"M","I",96,2,1
"RAL799",2,"M","I",96,2,1
"RAL837",2,"M","I",96,1,1
"RAL443",2,"M","I",96,1,1
"RAL382",2,"M","I",96,1,1
"RAL486",2,"M","I",96,1,1
"RAL737",2,"M","I",120,2,1
"RAL395",2,"M","I",120,1,1
"RAL799",2,"M","I",120,3,1
"RAL837",2,"M","I",120,1,1
"RAL443",2,"M","I",120,4,1
"RAL382",2,"M","I",120,2,1
"RAL486",2,"M","I",120,2,1
"RAL776",2,"M","I",120,3,1
"RAL646",2,"M","I",120,2,1
"RAL397",2,"M","I",120,1,1
"RAL786",2,"M","I",120,7,0
"RAL737",2,"M","I",120,12,0
"RAL395",2,"M","I",120,12,0
"RAL799",2,"M","I",120,22,0
"RAL837",2,"M","I",120,3,0
"Sham",2,"M","S",120,8,0
"RAL443",2,"M","I",120,22,0
"RAL370",2,"M","I",120,15,0
"RAL382",2,"M","I",120,18,0
"RAL486",2,"M","I",120,6,0
"RAL129",2,"M","I",120,13,0
"RAL776",2,"M","I",120,21,0
"RAL646",2,"M","I",120,21,0
"RAL397",2,"M","I",120,20,0
"RAL837",3,"M","I",24,20,1
"RAL799",3,"M","I",24,3,1
"RAL443",3,"M","I",24,1,1
"RAL129",3,"M","I",24,6,1
"RAL776",3,"M","I",24,1,1
"RAL786",3,"M","I",24,8,1
"RAL370",3,"M","I",24,5,1
"RAL395",3,"M","I",24,8,1
"RAL737",3,"M","I",24,14,1
"RAL382",3,"M","I",24,5,1
"RAL486",3,"M","I",24,6,1
"RAL837",3,"M","I",48,11,1
"RAL443",3,"M","I",48,2,1
"RAL129",3,"M","I",48,9,1
"RAL776",3,"M","I",48,6,1
"RAL786",3,"M","I",48,4,1
"RAL370",3,"M","I",48,12,1
"RAL646",3,"M","I",48,4,1
"RAL395",3,"M","I",48,6,1
"RAL737",3,"M","I",48,1,1
"RAL382",3,"M","I",48,12,1
"RAL486",3,"M","I",48,8,1
"RAL799",3,"M","I",72,2,1
"RAL443",3,"M","I",72,2,1
"RAL129",3,"M","I",72,2,1
"RAL786",3,"M","I",72,1,1
"RAL395",3,"M","I",72,5,1
"RAL397",3,"M","I",72,2,1
"RAL382",3,"M","I",72,2,1
"RAL486",3,"M","I",72,2,1
"RAL799",3,"M","I",96,3,1
"RAL129",3,"M","I",96,1,1
"RAL786",3,"M","I",96,2,1
"RAL646",3,"M","I",96,1,1
"Sham",3,"M","S",96,1,1
"RAL799",3,"M","I",120,1,1
"RAL129",3,"M","I",120,2,1
"RAL776",3,"M","I",120,2,1
"RAL370",3,"M","I",120,1,1
"RAL646",3,"M","I",120,3,1
"RAL395",3,"M","I",120,1,1
"RAL382",3,"M","I",120,1,1
"RAL837",3,"M","I",120,5,0
"RAL799",3,"M","I",120,23,0
"RAL443",3,"M","I",120,19,0
"RAL129",3,"M","I",120,12,0
"RAL776",3,"M","I",120,27,0
"RAL786",3,"M","I",120,19,0
"RAL370",3,"M","I",120,15,0
"RAL646",3,"M","I",120,26,0
"Sham",3,"M","S",120,34,0
"RAL395",3,"M","I",120,9,0
"RAL737",3,"M","I",120,7,0
"RAL397",3,"M","I",120,32,0
"RAL382",3,"M","I",120,13,0
"RAL486",3,"M","I",120,16,0
